2025/06/04 23:19:55 Running in pod
2025/06/04 23:19:56 Connected to vCenter: alm-vc-01.alm.mentorg.com
2025/06/04 23:19:58 Connected to OpenStack
2025/06/04 23:19:58 VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6
2025/06/04 23:19:58 Creating volumes in OpenStack
2025/06/04 23:20:10 Volumes created successfully
2025/06/04 23:20:10 CBT Enabled: false
2025/06/04 23:20:10 CBT is not enabled. Enabling CBT
2025/06/04 23:20:10 Creating temporary snapshot of the source VM
2025/06/04 23:20:11 Snapshot created successfully
2025/06/04 23:20:12 CBT enabled successfully
Volume created successfully availableSnapshot deleted successfully
2025/06/04 23:20:14 Starting NBD server
2025/06/04 23:20:14 Copying disk 0, Completed: 0%
2025/06/04 23:20:14 Executing nbdkit --exit-with-parent --readonly --foreground --unix=/tmp/nbdkit-132335474/nbdkit.sock --pidfile=/tmp/nbdkit-132335474/nbdkit.pid --verbose -D vddk.datapath=0 -D nbdkit.backend.datapath=0 vddk libdir=/home/fedora/vmware-vix-disklib-distrib server=alm-vc-01.alm.mentorg.com user=mgc\svc_vcenter password=[REDACTED] thumbprint=ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6 compression=fastlz config=/home/fedora/vddk.conf transports=file:nbdssl:nbd vm=moref=vm-10873 snapshot=snapshot-18734 [sata_n1_vmnfsvcd1] flex-u22-01-NKPE/flex-u22-01-NKPE.vmdk 
2025/06/04 23:20:17 Attaching volumes to VM
2025/06/04 23:20:18 Waiting for volume attachment
2025/06/04 23:20:28 /usr/sbin/nbdcopy --progress=3 --target-is-zero nbd+unix:///?socket=/tmp/nbdkit-132335474/nbdkit.sock /dev/vdg
2025/06/04 23:20:30 Copying disk 0, Completed: 0%
2025/06/04 23:20:30 Copying disk 0, Completed: 0%
2025/06/04 23:20:31 Copying disk 0, Completed: 0%
2025/06/04 23:20:32 Copying disk 0, Completed: 0%
2025/06/04 23:20:33 Copying disk 0, Completed: 0%
2025/06/04 23:20:34 Copying disk 0, Completed: 0%
2025/06/04 23:20:37 Copying disk 0, Completed: 0%
2025/06/04 23:20:39 Copying disk 0, Completed: 0%
2025/06/04 23:20:41 Copying disk 0, Completed: 0%
2025/06/04 23:20:43 Copying disk 0, Completed: 0%
2025/06/04 23:20:47 Copying disk 0, Completed: 0%
2025/06/04 23:20:49 Copying disk 0, Completed: 0%
2025/06/04 23:20:53 Copying disk 0, Completed: 0%
2025/06/04 23:20:55 Copying disk 0, Completed: 0%
2025/06/04 23:20:59 Copying disk 0, Completed: 0%
2025/06/04 23:21:01 Copying disk 0, Completed: 0%
2025/06/04 23:21:05 Copying disk 0, Completed: 0%
2025/06/04 23:21:08 Copying disk 0, Completed: 0%
2025/06/04 23:21:11 Copying disk 0, Completed: 0%
2025/06/04 23:21:14 Copying disk 0, Completed: 0%
2025/06/04 23:21:17 Copying disk 0, Completed: 0%
2025/06/04 23:21:20 Copying disk 0, Completed: 0%
2025/06/04 23:21:22 Copying disk 0, Completed: 0%
2025/06/04 23:21:25 Copying disk 0, Completed: 0%
2025/06/04 23:21:28 Copying disk 0, Completed: 0%
2025/06/04 23:21:31 Copying disk 0, Completed: 0%
2025/06/04 23:21:34 Copying disk 0, Completed: 0%
2025/06/04 23:21:36 Copying disk 0, Completed: 0%
2025/06/04 23:21:39 Copying disk 0, Completed: 0%
2025/06/04 23:21:41 Copying disk 0, Completed: 0%
2025/06/04 23:21:44 Copying disk 0, Completed: 0%
2025/06/04 23:21:47 Copying disk 0, Completed: 0%
2025/06/04 23:21:51 Copying disk 0, Completed: 0%
2025/06/04 23:21:55 Copying disk 0, Completed: 1%
2025/06/04 23:21:57 Copying disk 0, Completed: 1%
2025/06/04 23:22:00 Copying disk 0, Completed: 1%
2025/06/04 23:22:03 Copying disk 0, Completed: 1%
2025/06/04 23:22:06 Copying disk 0, Completed: 1%
2025/06/04 23:22:08 Copying disk 0, Completed: 1%
2025/06/04 23:22:11 Copying disk 0, Completed: 1%
2025/06/04 23:22:13 Copying disk 0, Completed: 1%
2025/06/04 23:22:16 Copying disk 0, Completed: 1%
2025/06/04 23:22:18 Copying disk 0, Completed: 1%
2025/06/04 23:22:23 Copying disk 0, Completed: 1%
2025/06/04 23:22:25 Copying disk 0, Completed: 1%
2025/06/04 23:22:29 Copying disk 0, Completed: 1%
2025/06/04 23:22:31 Copying disk 0, Completed: 1%
2025/06/04 23:22:34 Copying disk 0, Completed: 1%
2025/06/04 23:22:36 Copying disk 0, Completed: 1%
2025/06/04 23:22:39 Copying disk 0, Completed: 1%
2025/06/04 23:22:41 Copying disk 0, Completed: 1%
2025/06/04 23:22:43 Copying disk 0, Completed: 1%
2025/06/04 23:22:46 Copying disk 0, Completed: 1%
2025/06/04 23:22:50 Copying disk 0, Completed: 1%
2025/06/04 23:22:52 Copying disk 0, Completed: 1%
2025/06/04 23:22:55 Copying disk 0, Completed: 1%
2025/06/04 23:22:58 Copying disk 0, Completed: 1%
2025/06/04 23:23:01 Copying disk 0, Completed: 1%
2025/06/04 23:23:04 Copying disk 0, Completed: 1%
2025/06/04 23:23:06 Copying disk 0, Completed: 1%
2025/06/04 23:23:10 Copying disk 0, Completed: 1%
2025/06/04 23:23:13 Copying disk 0, Completed: 1%
2025/06/04 23:23:15 Copying disk 0, Completed: 1%
2025/06/04 23:23:17 Copying disk 0, Completed: 1%
2025/06/04 23:23:20 Copying disk 0, Completed: 1%
2025/06/04 23:23:24 Copying disk 0, Completed: 2%
2025/06/04 23:23:27 Copying disk 0, Completed: 2%
2025/06/04 23:23:31 Copying disk 0, Completed: 2%
2025/06/04 23:23:35 Copying disk 0, Completed: 2%
2025/06/04 23:23:39 Copying disk 0, Completed: 2%
2025/06/04 23:23:42 Copying disk 0, Completed: 2%
2025/06/04 23:23:45 Copying disk 0, Completed: 2%
2025/06/04 23:23:50 Copying disk 0, Completed: 2%
2025/06/04 23:23:54 Copying disk 0, Completed: 2%
2025/06/04 23:23:56 Copying disk 0, Completed: 2%
2025/06/04 23:24:01 Copying disk 0, Completed: 2%
2025/06/04 23:24:04 Copying disk 0, Completed: 2%
2025/06/04 23:24:09 Copying disk 0, Completed: 2%
2025/06/04 23:24:13 Copying disk 0, Completed: 2%
2025/06/04 23:24:17 Copying disk 0, Completed: 2%
2025/06/04 23:24:21 Copying disk 0, Completed: 2%
2025/06/04 23:24:25 Copying disk 0, Completed: 2%
2025/06/04 23:24:27 Copying disk 0, Completed: 2%
2025/06/04 23:24:31 Copying disk 0, Completed: 2%
2025/06/04 23:24:34 Copying disk 0, Completed: 2%
2025/06/04 23:24:39 Copying disk 0, Completed: 2%
2025/06/04 23:24:42 Copying disk 0, Completed: 2%
2025/06/04 23:24:45 Copying disk 0, Completed: 2%
2025/06/04 23:24:48 Copying disk 0, Completed: 2%
2025/06/04 23:24:52 Copying disk 0, Completed: 2%
2025/06/04 23:24:55 Copying disk 0, Completed: 2%
2025/06/04 23:24:58 Copying disk 0, Completed: 2%
2025/06/04 23:25:02 Copying disk 0, Completed: 2%
2025/06/04 23:25:06 Copying disk 0, Completed: 2%
2025/06/04 23:25:08 Copying disk 0, Completed: 2%
2025/06/04 23:25:13 Copying disk 0, Completed: 2%
2025/06/04 23:25:16 Copying disk 0, Completed: 2%
2025/06/04 23:25:19 Copying disk 0, Completed: 3%
2025/06/04 23:25:23 Copying disk 0, Completed: 3%
2025/06/04 23:25:26 Copying disk 0, Completed: 3%
2025/06/04 23:25:29 Copying disk 0, Completed: 3%
2025/06/04 23:25:34 Copying disk 0, Completed: 3%
2025/06/04 23:25:36 Copying disk 0, Completed: 3%
2025/06/04 23:25:39 Copying disk 0, Completed: 3%
2025/06/04 23:25:43 Copying disk 0, Completed: 3%
2025/06/04 23:25:45 Copying disk 0, Completed: 3%
2025/06/04 23:25:48 Copying disk 0, Completed: 3%
2025/06/04 23:25:51 Copying disk 0, Completed: 3%
2025/06/04 23:25:54 Copying disk 0, Completed: 3%
2025/06/04 23:25:57 Copying disk 0, Completed: 3%
2025/06/04 23:26:01 Copying disk 0, Completed: 3%
2025/06/04 23:26:05 Copying disk 0, Completed: 3%
2025/06/04 23:26:08 Copying disk 0, Completed: 3%
2025/06/04 23:26:11 Copying disk 0, Completed: 3%
2025/06/04 23:26:14 Copying disk 0, Completed: 3%
2025/06/04 23:26:17 Copying disk 0, Completed: 3%
2025/06/04 23:26:21 Copying disk 0, Completed: 3%
2025/06/04 23:26:24 Copying disk 0, Completed: 3%
2025/06/04 23:26:27 Copying disk 0, Completed: 3%
2025/06/04 23:26:31 Copying disk 0, Completed: 3%
2025/06/04 23:26:34 Copying disk 0, Completed: 3%
2025/06/04 23:26:38 Copying disk 0, Completed: 3%
2025/06/04 23:26:43 Copying disk 0, Completed: 3%
2025/06/04 23:26:45 Copying disk 0, Completed: 3%
2025/06/04 23:26:48 Copying disk 0, Completed: 3%
2025/06/04 23:26:51 Copying disk 0, Completed: 3%
2025/06/04 23:26:53 Copying disk 0, Completed: 3%
2025/06/04 23:26:55 Copying disk 0, Completed: 3%
2025/06/04 23:26:58 Copying disk 0, Completed: 3%
2025/06/04 23:27:03 Copying disk 0, Completed: 4%
2025/06/04 23:27:05 Copying disk 0, Completed: 4%
2025/06/04 23:27:09 Copying disk 0, Completed: 4%
2025/06/04 23:27:12 Copying disk 0, Completed: 4%
2025/06/04 23:27:14 Copying disk 0, Completed: 4%
2025/06/04 23:27:16 Copying disk 0, Completed: 4%
2025/06/04 23:27:20 Copying disk 0, Completed: 4%
2025/06/04 23:27:23 Copying disk 0, Completed: 4%
2025/06/04 23:27:27 Copying disk 0, Completed: 4%
2025/06/04 23:27:31 Copying disk 0, Completed: 4%
2025/06/04 23:27:33 Copying disk 0, Completed: 4%
2025/06/04 23:27:36 Copying disk 0, Completed: 4%
2025/06/04 23:27:38 Copying disk 0, Completed: 4%
2025/06/04 23:27:40 Copying disk 0, Completed: 4%
2025/06/04 23:27:43 Copying disk 0, Completed: 4%
2025/06/04 23:27:45 Copying disk 0, Completed: 4%
2025/06/04 23:27:47 Copying disk 0, Completed: 4%
2025/06/04 23:27:49 Copying disk 0, Completed: 4%
2025/06/04 23:27:52 Copying disk 0, Completed: 4%
2025/06/04 23:27:54 Copying disk 0, Completed: 4%
2025/06/04 23:27:56 Copying disk 0, Completed: 4%
2025/06/04 23:28:00 Copying disk 0, Completed: 4%
2025/06/04 23:28:02 Copying disk 0, Completed: 4%
2025/06/04 23:28:05 Copying disk 0, Completed: 4%
2025/06/04 23:28:07 Copying disk 0, Completed: 4%
2025/06/04 23:28:11 Copying disk 0, Completed: 4%
2025/06/04 23:28:13 Copying disk 0, Completed: 4%
2025/06/04 23:28:16 Copying disk 0, Completed: 4%
2025/06/04 23:28:21 Copying disk 0, Completed: 4%
2025/06/04 23:28:23 Copying disk 0, Completed: 4%
2025/06/04 23:28:26 Copying disk 0, Completed: 4%
2025/06/04 23:28:29 Copying disk 0, Completed: 4%
2025/06/04 23:28:31 Copying disk 0, Completed: 5%
2025/06/04 23:28:33 Copying disk 0, Completed: 5%
2025/06/04 23:28:36 Copying disk 0, Completed: 5%
2025/06/04 23:28:39 Copying disk 0, Completed: 5%
2025/06/04 23:28:40 Copying disk 0, Completed: 5%
2025/06/04 23:28:43 Copying disk 0, Completed: 5%
2025/06/04 23:28:46 Copying disk 0, Completed: 5%
2025/06/04 23:28:49 Copying disk 0, Completed: 5%
2025/06/04 23:28:51 Copying disk 0, Completed: 5%
2025/06/04 23:28:54 Copying disk 0, Completed: 5%
2025/06/04 23:28:56 Copying disk 0, Completed: 5%
2025/06/04 23:28:59 Copying disk 0, Completed: 5%
2025/06/04 23:29:01 Copying disk 0, Completed: 5%
2025/06/04 23:29:05 Copying disk 0, Completed: 5%
2025/06/04 23:29:08 Copying disk 0, Completed: 5%
2025/06/04 23:29:14 Copying disk 0, Completed: 5%
2025/06/04 23:29:16 Copying disk 0, Completed: 5%
2025/06/04 23:29:19 Copying disk 0, Completed: 5%
2025/06/04 23:29:22 Copying disk 0, Completed: 5%
2025/06/04 23:29:26 Copying disk 0, Completed: 5%
2025/06/04 23:29:30 Copying disk 0, Completed: 5%
2025/06/04 23:29:32 Copying disk 0, Completed: 5%
2025/06/04 23:29:36 Copying disk 0, Completed: 5%
2025/06/04 23:29:40 Copying disk 0, Completed: 5%
2025/06/04 23:29:45 Copying disk 0, Completed: 5%
2025/06/04 23:29:50 Copying disk 0, Completed: 5%
2025/06/04 23:29:52 Copying disk 0, Completed: 5%
2025/06/04 23:29:56 Copying disk 0, Completed: 5%
2025/06/04 23:29:58 Copying disk 0, Completed: 5%
2025/06/04 23:30:01 Copying disk 0, Completed: 5%
2025/06/04 23:30:03 Copying disk 0, Completed: 5%
2025/06/04 23:30:07 Copying disk 0, Completed: 5%
2025/06/04 23:30:09 Copying disk 0, Completed: 6%
2025/06/04 23:30:12 Copying disk 0, Completed: 6%
2025/06/04 23:30:16 Copying disk 0, Completed: 6%
2025/06/04 23:30:19 Copying disk 0, Completed: 6%
2025/06/04 23:30:23 Copying disk 0, Completed: 6%
2025/06/04 23:30:25 Copying disk 0, Completed: 6%
2025/06/04 23:30:29 Copying disk 0, Completed: 6%
2025/06/04 23:30:31 Copying disk 0, Completed: 6%
2025/06/04 23:30:34 Copying disk 0, Completed: 6%
2025/06/04 23:30:36 Copying disk 0, Completed: 6%
2025/06/04 23:30:39 Copying disk 0, Completed: 6%
2025/06/04 23:30:40 Copying disk 0, Completed: 6%
2025/06/04 23:30:44 Copying disk 0, Completed: 6%
2025/06/04 23:30:47 Copying disk 0, Completed: 6%
2025/06/04 23:30:50 Copying disk 0, Completed: 6%
2025/06/04 23:30:53 Copying disk 0, Completed: 6%
2025/06/04 23:30:56 Copying disk 0, Completed: 6%
2025/06/04 23:30:58 Copying disk 0, Completed: 6%
2025/06/04 23:31:01 Copying disk 0, Completed: 6%
2025/06/04 23:31:05 Copying disk 0, Completed: 6%
2025/06/04 23:31:07 Copying disk 0, Completed: 6%
2025/06/04 23:31:10 Copying disk 0, Completed: 6%
2025/06/04 23:31:12 Copying disk 0, Completed: 6%
2025/06/04 23:31:15 Copying disk 0, Completed: 6%
2025/06/04 23:31:18 Copying disk 0, Completed: 6%
2025/06/04 23:31:21 Copying disk 0, Completed: 6%
2025/06/04 23:31:24 Copying disk 0, Completed: 6%
2025/06/04 23:31:27 Copying disk 0, Completed: 6%
2025/06/04 23:31:30 Copying disk 0, Completed: 6%
2025/06/04 23:31:34 Copying disk 0, Completed: 6%
2025/06/04 23:31:36 Copying disk 0, Completed: 6%
2025/06/04 23:31:40 Copying disk 0, Completed: 6%
2025/06/04 23:31:43 Copying disk 0, Completed: 7%
2025/06/04 23:31:46 Copying disk 0, Completed: 7%
2025/06/04 23:31:48 Copying disk 0, Completed: 7%
2025/06/04 23:31:51 Copying disk 0, Completed: 7%
2025/06/04 23:31:54 Copying disk 0, Completed: 7%
2025/06/04 23:31:57 Copying disk 0, Completed: 7%
2025/06/04 23:32:00 Copying disk 0, Completed: 7%
2025/06/04 23:32:03 Copying disk 0, Completed: 7%
2025/06/04 23:32:06 Copying disk 0, Completed: 7%
2025/06/04 23:32:09 Copying disk 0, Completed: 7%
2025/06/04 23:32:11 Copying disk 0, Completed: 7%
2025/06/04 23:32:14 Copying disk 0, Completed: 7%
2025/06/04 23:32:16 Copying disk 0, Completed: 7%
2025/06/04 23:32:18 Copying disk 0, Completed: 7%
2025/06/04 23:32:21 Copying disk 0, Completed: 7%
2025/06/04 23:32:24 Copying disk 0, Completed: 7%
2025/06/04 23:32:28 Copying disk 0, Completed: 7%
2025/06/04 23:32:30 Copying disk 0, Completed: 7%
2025/06/04 23:32:33 Copying disk 0, Completed: 7%
2025/06/04 23:32:36 Copying disk 0, Completed: 7%
2025/06/04 23:32:39 Copying disk 0, Completed: 7%
2025/06/04 23:32:43 Copying disk 0, Completed: 7%
2025/06/04 23:32:46 Copying disk 0, Completed: 7%
2025/06/04 23:32:49 Copying disk 0, Completed: 7%
2025/06/04 23:32:51 Copying disk 0, Completed: 7%
2025/06/04 23:32:54 Copying disk 0, Completed: 7%
2025/06/04 23:32:56 Copying disk 0, Completed: 7%
2025/06/04 23:32:59 Copying disk 0, Completed: 7%
2025/06/04 23:33:03 Copying disk 0, Completed: 7%
2025/06/04 23:33:04 Copying disk 0, Completed: 7%
2025/06/04 23:33:07 Copying disk 0, Completed: 7%
2025/06/04 23:33:10 Copying disk 0, Completed: 7%
2025/06/04 23:33:12 Copying disk 0, Completed: 8%
2025/06/04 23:33:15 Copying disk 0, Completed: 8%
2025/06/04 23:33:18 Copying disk 0, Completed: 8%
2025/06/04 23:33:19 Copying disk 0, Completed: 8%
2025/06/04 23:33:22 Copying disk 0, Completed: 8%
2025/06/04 23:33:24 Copying disk 0, Completed: 8%
2025/06/04 23:33:28 Copying disk 0, Completed: 8%
2025/06/04 23:33:30 Copying disk 0, Completed: 8%
2025/06/04 23:33:33 Copying disk 0, Completed: 8%
2025/06/04 23:33:35 Copying disk 0, Completed: 8%
2025/06/04 23:33:38 Copying disk 0, Completed: 8%
2025/06/04 23:33:40 Copying disk 0, Completed: 8%
2025/06/04 23:33:42 Copying disk 0, Completed: 8%
2025/06/04 23:33:44 Copying disk 0, Completed: 8%
2025/06/04 23:33:47 Copying disk 0, Completed: 8%
2025/06/04 23:33:49 Copying disk 0, Completed: 8%
2025/06/04 23:33:50 Copying disk 0, Completed: 8%
2025/06/04 23:33:53 Copying disk 0, Completed: 8%
2025/06/04 23:33:55 Copying disk 0, Completed: 8%
2025/06/04 23:33:57 Copying disk 0, Completed: 8%
2025/06/04 23:33:59 Copying disk 0, Completed: 8%
2025/06/04 23:34:02 Copying disk 0, Completed: 8%
2025/06/04 23:34:03 Copying disk 0, Completed: 8%
2025/06/04 23:34:06 Copying disk 0, Completed: 8%
2025/06/04 23:34:08 Copying disk 0, Completed: 8%
2025/06/04 23:34:10 Copying disk 0, Completed: 8%
2025/06/04 23:34:13 Copying disk 0, Completed: 8%
2025/06/04 23:34:15 Copying disk 0, Completed: 8%
2025/06/04 23:34:17 Copying disk 0, Completed: 8%
2025/06/04 23:34:21 Copying disk 0, Completed: 8%
2025/06/04 23:34:22 Copying disk 0, Completed: 8%
2025/06/04 23:34:24 Copying disk 0, Completed: 8%
2025/06/04 23:34:27 Copying disk 0, Completed: 9%
2025/06/04 23:34:28 Copying disk 0, Completed: 9%
2025/06/04 23:34:31 Copying disk 0, Completed: 9%
2025/06/04 23:34:33 Copying disk 0, Completed: 9%
2025/06/04 23:34:35 Copying disk 0, Completed: 9%
2025/06/04 23:34:39 Copying disk 0, Completed: 9%
2025/06/04 23:34:41 Copying disk 0, Completed: 9%
2025/06/04 23:34:43 Copying disk 0, Completed: 9%
2025/06/04 23:34:45 Copying disk 0, Completed: 9%
2025/06/04 23:34:48 Copying disk 0, Completed: 9%
2025/06/04 23:34:50 Copying disk 0, Completed: 9%
2025/06/04 23:34:52 Copying disk 0, Completed: 9%
2025/06/04 23:34:55 Copying disk 0, Completed: 9%
2025/06/04 23:34:57 Copying disk 0, Completed: 9%
2025/06/04 23:34:59 Copying disk 0, Completed: 9%
2025/06/04 23:35:02 Copying disk 0, Completed: 9%
2025/06/04 23:35:04 Copying disk 0, Completed: 9%
2025/06/04 23:35:06 Copying disk 0, Completed: 9%
2025/06/04 23:35:09 Copying disk 0, Completed: 9%
2025/06/04 23:35:12 Copying disk 0, Completed: 9%
2025/06/04 23:35:15 Copying disk 0, Completed: 9%
2025/06/04 23:35:17 Copying disk 0, Completed: 9%
2025/06/04 23:35:20 Copying disk 0, Completed: 9%
2025/06/04 23:35:22 Copying disk 0, Completed: 9%
2025/06/04 23:35:25 Copying disk 0, Completed: 9%
2025/06/04 23:35:27 Copying disk 0, Completed: 9%
2025/06/04 23:35:29 Copying disk 0, Completed: 9%
2025/06/04 23:35:32 Copying disk 0, Completed: 9%
2025/06/04 23:35:34 Copying disk 0, Completed: 9%
2025/06/04 23:35:36 Copying disk 0, Completed: 9%
2025/06/04 23:35:39 Copying disk 0, Completed: 9%
2025/06/04 23:35:41 Copying disk 0, Completed: 9%
2025/06/04 23:35:43 Copying disk 0, Completed: 10%
2025/06/04 23:35:46 Copying disk 0, Completed: 10%
2025/06/04 23:35:48 Copying disk 0, Completed: 10%
2025/06/04 23:35:50 Copying disk 0, Completed: 10%
2025/06/04 23:35:52 Copying disk 0, Completed: 10%
2025/06/04 23:35:55 Copying disk 0, Completed: 10%
2025/06/04 23:35:58 Copying disk 0, Completed: 10%
2025/06/04 23:36:00 Copying disk 0, Completed: 10%
2025/06/04 23:36:02 Copying disk 0, Completed: 10%
2025/06/04 23:36:05 Copying disk 0, Completed: 10%
2025/06/04 23:36:07 Copying disk 0, Completed: 10%
2025/06/04 23:36:10 Copying disk 0, Completed: 10%
2025/06/04 23:36:11 Copying disk 0, Completed: 10%
2025/06/04 23:36:13 Copying disk 0, Completed: 10%
2025/06/04 23:36:15 Copying disk 0, Completed: 10%
2025/06/04 23:36:18 Copying disk 0, Completed: 10%
2025/06/04 23:36:21 Copying disk 0, Completed: 10%
2025/06/04 23:36:24 Copying disk 0, Completed: 10%
2025/06/04 23:36:26 Copying disk 0, Completed: 10%
2025/06/04 23:36:28 Copying disk 0, Completed: 10%
2025/06/04 23:36:30 Copying disk 0, Completed: 10%
2025/06/04 23:36:33 Copying disk 0, Completed: 10%
2025/06/04 23:36:35 Copying disk 0, Completed: 10%
2025/06/04 23:36:37 Copying disk 0, Completed: 10%
2025/06/04 23:36:40 Copying disk 0, Completed: 10%
2025/06/04 23:36:42 Copying disk 0, Completed: 10%
2025/06/04 23:36:46 Copying disk 0, Completed: 10%
2025/06/04 23:36:48 Copying disk 0, Completed: 10%
2025/06/04 23:36:50 Copying disk 0, Completed: 10%
2025/06/04 23:36:52 Copying disk 0, Completed: 10%
2025/06/04 23:36:54 Copying disk 0, Completed: 10%
2025/06/04 23:36:56 Copying disk 0, Completed: 10%
2025/06/04 23:36:58 Copying disk 0, Completed: 11%
2025/06/04 23:37:00 Copying disk 0, Completed: 11%
