2025/05/10 16:07:43 Connected to vCenter: wv-qa-vc.wv.mentorg.com
2025/05/10 16:07:43 Connected to OpenStack
2025/05/10 16:07:43 VCenter Thumbprint: c6:d4:67:f5:6c:74:c8:66:63:66:94:03:cc:e9:58:65:3b:d5:47:f5
2025/05/10 16:07:43 Running in pod
2025/05/10 16:07:43 Creating volumes in OpenStack
2025/05/10 16:07:54 Volumes created successfully
2025/05/10 16:07:54 CBT Enabled: true
2025/05/10 16:07:54 Starting NBD server
2025/05/10 16:07:56 Copying disk 0, Completed: 0%
2025/05/10 16:07:56 Executing nbdkit --exit-with-parent --readonly --foreground --unix=/tmp/nbdkit-3889053442/nbdkit.sock --pidfile=/tmp/nbdkit-3889053442/nbdkit.pid --verbose -D vddk.datapath=0 -D nbdkit.backend.datapath=0 vddk libdir=/home/fedora/vmware-vix-disklib-distrib server=wv-qa-vc.wv.mentorg.com user=ad001\z0053zhf password=[REDACTED] thumbprint=c6:d4:67:f5:6c:74:c8:66:63:66:94:03:cc:e9:58:65:3b:d5:47:f5 compression=fastlz config=/home/fedora/vddk.conf transports=file:nbdssl:nbd vm=moref=vm-42072 snapshot=snapshot-42335 [wv-qa-tin-01] pf9-testdb-mysql-01/pf9-testdb-mysql-01.vmdk 
2025/05/10 16:07:56 Copying disk 1, Completed: 0%
2025/05/10 16:07:56 Executing nbdkit --exit-with-parent --readonly --foreground --unix=/tmp/nbdkit-2358079784/nbdkit.sock --pidfile=/tmp/nbdkit-2358079784/nbdkit.pid --verbose -D vddk.datapath=0 -D nbdkit.backend.datapath=0 vddk libdir=/home/fedora/vmware-vix-disklib-distrib server=wv-qa-vc.wv.mentorg.com user=ad001\z0053zhf password=[REDACTED] thumbprint=c6:d4:67:f5:6c:74:c8:66:63:66:94:03:cc:e9:58:65:3b:d5:47:f5 compression=fastlz config=/home/fedora/vddk.conf transports=file:nbdssl:nbd vm=moref=vm-42072 snapshot=snapshot-42335 [wv-qa-tin-01] pf9-testdb-mysql-01/pf9-testdb-mysql-01_1.vmdk 
2025/05/10 16:07:58 Attaching volumes to VM
2025/05/10 16:07:59 Waiting for volume attachment
2025/05/10 16:08:04 Attaching volumes to VM
2025/05/10 16:08:05 Waiting for volume attachment
2025/05/10 16:08:10 /usr/sbin/nbdcopy --progress=3 --target-is-zero nbd+unix:///?socket=/tmp/nbdkit-3889053442/nbdkit.sock /dev/vdb
2025/05/10 16:08:11 Copying disk 0, Completed: 0%
2025/05/10 16:08:11 Copying disk 0, Completed: 0%
2025/05/10 16:08:12 Copying disk 0, Completed: 0%
2025/05/10 16:08:12 Copying disk 0, Completed: 0%
2025/05/10 16:08:13 Copying disk 0, Completed: 0%
2025/05/10 16:08:13 Copying disk 0, Completed: 0%
2025/05/10 16:08:14 Copying disk 0, Completed: 0%
2025/05/10 16:08:15 Copying disk 0, Completed: 0%
2025/05/10 16:08:15 Copying disk 0, Completed: 0%
2025/05/10 16:08:16 Copying disk 0, Completed: 0%
2025/05/10 16:08:16 Copying disk 0, Completed: 0%
2025/05/10 16:08:17 Copying disk 0, Completed: 0%
2025/05/10 16:08:18 Copying disk 0, Completed: 0%
2025/05/10 16:08:19 Copying disk 0, Completed: 0%
2025/05/10 16:08:20 Copying disk 0, Completed: 0%
2025/05/10 16:08:21 Copying disk 0, Completed: 0%
2025/05/10 16:08:21 Copying disk 0, Completed: 0%
2025/05/10 16:08:22 Copying disk 0, Completed: 0%
2025/05/10 16:08:22 Copying disk 0, Completed: 0%
2025/05/10 16:08:23 Copying disk 0, Completed: 0%
2025/05/10 16:08:23 Copying disk 0, Completed: 0%
2025/05/10 16:08:24 Copying disk 0, Completed: 0%
2025/05/10 16:08:24 Copying disk 0, Completed: 0%
2025/05/10 16:08:25 Copying disk 0, Completed: 0%
2025/05/10 16:08:25 Copying disk 0, Completed: 0%
2025/05/10 16:08:26 Copying disk 0, Completed: 0%
2025/05/10 16:08:27 Copying disk 0, Completed: 0%
2025/05/10 16:08:27 Copying disk 0, Completed: 0%
2025/05/10 16:08:28 Copying disk 0, Completed: 0%
2025/05/10 16:08:29 Copying disk 0, Completed: 0%
2025/05/10 16:08:30 Copying disk 0, Completed: 0%
2025/05/10 16:08:31 Copying disk 0, Completed: 0%
2025/05/10 16:08:32 Copying disk 0, Completed: 0%
2025/05/10 16:08:33 Copying disk 0, Completed: 0%
2025/05/10 16:08:34 Copying disk 0, Completed: 0%
2025/05/10 16:08:35 Copying disk 0, Completed: 0%
2025/05/10 16:08:36 Copying disk 0, Completed: 0%
2025/05/10 16:08:37 Copying disk 0, Completed: 0%
2025/05/10 16:08:38 Copying disk 0, Completed: 0%
2025/05/10 16:08:39 Copying disk 0, Completed: 0%
2025/05/10 16:08:40 Copying disk 0, Completed: 0%
2025/05/10 16:08:41 Copying disk 0, Completed: 0%
2025/05/10 16:08:42 Copying disk 0, Completed: 1%
2025/05/10 16:08:43 Copying disk 0, Completed: 1%
