[2025-06-19T01:27:07Z] -----	 Migration started at 2025-06-19T01:27:07Z for VM alm-smartm-vm.alm.mentorg.com -----
[2025-06-19T01:27:07Z] Running in pod
[2025-06-19T01:27:10Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:11Z] Connected to OpenStack
[2025-06-19T01:27:12Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:12Z] Creating volumes in OpenStack
[2025-06-19T02:28:06Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:08Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:10Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:12Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:14Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:16Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:17Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:19Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:21Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:23Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:25Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:27Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:28Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:30Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:32Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:34Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:36Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:38Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:39Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:41Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:43Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:45Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:47Z] Copying disk 0, Completed: 13%
[2025-06-19T02:28:49Z] Copying disk 0, Completed: 13%
