[2025-06-18T17:36:31Z] -----	 Migration started at 2025-06-18T17:36:31Z for VM bd.alm.mentorg.com -----
[2025-06-18T17:36:31Z] Running in pod
[2025-06-18T17:36:33Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-18T17:36:35Z] Connected to OpenStack
[2025-06-18T17:36:35Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-18T17:36:35Z] Failed to migrate VM: number of mac addresses does not match number of network names mac(1) network(0)
VM bd.alm.mentorg.com was powered on after migration failure
[2025-06-18T17:36:35Z] ----- Migration completed successfully at 2025-06-18T17:36:35Z for VM bd.alm.mentorg.com -----
[2025-06-18T20:29:07Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:09Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:11Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:13Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:14Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:16Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:17Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:19Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:20Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:21Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:23Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:24Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:26Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:28Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:29Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:31Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:32Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:34Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:35Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:37Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:38Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:40Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:41Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:43Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:44Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:46Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:47Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:49Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:51Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:52Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:54Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:55Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:57Z] Copying disk 1, Completed: 2%
[2025-06-18T20:29:58Z] Copying disk 1, Completed: 2%
[2025-06-18T20:30:00Z] Copying disk 1, Completed: 2%
[2025-06-18T20:30:01Z] Copying disk 1, Completed: 2%
[2025-06-18T20:30:03Z] Copying disk 1, Completed: 2%
