[2025-06-19T01:27:13Z] -----	 Migration started at 2025-06-19T01:27:13Z for VM bd78.alm.mentorg.com -----
[2025-06-19T01:27:13Z] Running in pod
[2025-06-19T01:27:17Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:18Z] Connected to OpenStack
[2025-06-19T01:27:19Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:19Z] Creating volumes in OpenStack
[2025-06-19T02:28:07Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:08Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:09Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:10Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:11Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:12Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:13Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:14Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:15Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:17Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:18Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:19Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:20Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:21Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:23Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:25Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:27Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:29Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:30Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:31Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:32Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:33Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:35Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:36Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:38Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:40Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:42Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:43Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:46Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:48Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:50Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:53Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:55Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:57Z] Copying disk 1, Completed: 3%
[2025-06-19T02:28:59Z] Copying disk 1, Completed: 3%
[2025-06-19T02:29:00Z] Copying disk 1, Completed: 3%
[2025-06-19T02:29:01Z] Copying disk 1, Completed: 3%
[2025-06-19T02:29:02Z] Copying disk 1, Completed: 3%
[2025-06-19T02:29:04Z] Copying disk 1, Completed: 3%
[2025-06-19T02:29:05Z] Copying disk 1, Completed: 3%
[2025-06-19T02:29:08Z] Copying disk 1, Completed: 3%
[2025-06-19T02:29:09Z] Copying disk 1, Completed: 3%
