[2025-06-19T01:27:20Z] -----	 Migration started at 2025-06-19T01:27:20Z for VM ftpeps.alm.mentorg.com -----
[2025-06-19T01:27:20Z] Running in pod
[2025-06-19T01:27:22Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:24Z] Connected to OpenStack
[2025-06-19T01:27:24Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:24Z] Creating volumes in OpenStack
[2025-06-19T02:28:08Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:10Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:12Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:13Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:15Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:16Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:18Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:20Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:22Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:24Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:25Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:27Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:29Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:31Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:33Z] Copying disk 1, Completed: 21%
[2025-06-19T02:28:35Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:37Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:39Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:41Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:43Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:45Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:45Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:47Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:49Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:51Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:53Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:55Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:57Z] Copying disk 1, Completed: 22%
[2025-06-19T02:28:59Z] Copying disk 1, Completed: 22%
[2025-06-19T02:29:01Z] Copying disk 1, Completed: 22%
[2025-06-19T02:29:03Z] Copying disk 1, Completed: 22%
[2025-06-19T02:29:05Z] Copying disk 1, Completed: 22%
[2025-06-19T02:29:07Z] Copying disk 1, Completed: 22%
